ECGTE - Environmental Taxes,ECGTE - Environmental Taxes,ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEP - Taxes on Pollution,ECGTEP - Taxes on Pollution,ECGTER - Taxes on Resources,ECGTER - Taxes on Resources,ECGTET - Taxes on Transport (Excluding Fuel for Transport),ECGTET - Taxes on Transport (Excluding Fuel for Transport)
Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP
58 406 401 750.00,1.0496%,310 139 670.00,0.0056%,9 598 325 610.00,0.1725%,32 673 639 220.00,0.5872%,15 824 297 250.00,0.2844%
70 490 695 380.00,1.1715%,305 674 280.00,0.0051%,11 813 980 970.00,0.1963%,42 919 631 040.00,0.7133%,15 451 409 090.00,0.2568%
81 566 448 910.00,1.2466%,257 217 300.00,0.0039%,22 500 230 740.00,0.3439%,41 789 659 120.00,0.6387%,17 019 341 750.00,0.2601%
62 077 900 000.00,1.0042%,262 500 000.00,0.0042%,6 958 200 000.00,0.1126%,47 898 900 000.00,0.7748%,6 958 300 000.00,0.1126%
15 230 000 000.00,2.8800%,10 427 000 000.00,1.9700%,22 000 000.00,0.0000%,nan,nan%,4 781 000 000.00,0.9000%
15 563 000 000.00,2.8000%,10 509 000 000.00,1.8900%,39 000 000.00,0.0100%,nan,nan%,5 015 000 000.00,0.9000%
17 796 900 000.00,3.0200%,12 594 000 000.00,2.1400%,81 000 000.00,0.0100%,nan,nan%,5 121 900 000.00,0.8700%
19 296 700 000.00,3.1100%,13 485 000 000.00,2.1700%,142 700 000.00,0.0200%,nan,nan%,5 669 000 000.00,0.9100%
19 198 300 000.00,2.9000%,13 756 000 000.00,2.0800%,144 300 000.00,0.0200%,nan,nan%,5 298 000 000.00,0.8000%
18 207 900 000.00,2.5800%,12 445 000 000.00,1.7600%,151 900 000.00,0.0200%,nan,nan%,5 611 000 000.00,0.7900%
19 304 000 000.00,2.5500%,12 779 000 000.00,1.6900%,160 000 000.00,0.0200%,nan,nan%,6 365 000 000.00,0.8400%
19 772 400 000.00,2.4600%,13 283 000 000.00,1.6600%,132 400 000.00,0.0200%,nan,nan%,6 357 000 000.00,0.7900%
20 886 700 000.00,2.4200%,13 879 000 000.00,1.6100%,166 300 000.00,0.0200%,nan,nan%,6 841 400 000.00,0.7900%
21 857 100 000.00,2.3600%,14 699 000 000.00,1.5900%,185 000 000.00,0.0200%,nan,nan%,6 973 100 000.00,0.7500%
21 565 000 000.00,2.1600%,14 422 000 000.00,1.4400%,203 000 000.00,0.0200%,nan,nan%,6 940 000 000.00,0.7000%
22 628 000 000.00,2.0800%,15 005 000 000.00,1.3800%,200 000 000.00,0.0200%,nan,nan%,7 423 000 000.00,0.6800%
23 749 000 000.00,2.0100%,15 432 000 000.00,1.3100%,277 000 000.00,0.0200%,nan,nan%,8 040 000 000.00,0.6800%
23 052 000 000.00,1.8300%,14 906 000 000.00,1.1800%,303 000 000.00,0.0200%,nan,nan%,7 843 000 000.00,0.6200%
25 031 000 000.00,1.9200%,16 085 000 000.00,1.2300%,350 000 000.00,0.0300%,nan,nan%,8 596 000 000.00,0.6600%
26 515 000 000.00,1.8700%,16 843 000 000.00,1.1900%,483 000 000.00,0.0300%,516 000 000.00,0.0400%,8 673 000 000.00,0.6100%
27 278 420 000.00,1.8200%,16 925 000 000.00,1.1300%,601 000 000.00,0.0400%,548 000 000.00,0.0400%,9 204 420 000.00,0.6100%
35 816 740 000.00,2.3300%,24 378 270 000.00,1.5900%,766 000 000.00,0.0500%,759 000 000.00,0.0500%,9 913 470 000.00,0.6500%
36 746 680 000.00,2.3000%,24 684 500 000.00,1.5400%,847 000 000.00,0.0500%,794 000 000.00,0.0500%,10 421 180 000.00,0.6500%
30 007 500 000.00,1.8500%,17 590 000 000.00,1.0800%,806 000 000.00,0.0500%,738 000 000.00,0.0500%,10 873 500 000.00,0.6700%
31 087 920 000.00,1.8800%,17 965 000 000.00,1.0800%,926 000 000.00,0.0600%,941 000 000.00,0.0600%,11 255 920 000.00,0.6800%
30 914 660 000.00,1.7600%,18 428 000 000.00,1.0500%,935 050 000.00,0.0500%,867 000 000.00,0.0500%,10 684 610 000.00,0.6100%
32 610 140 000.00,1.7700%,18 749 020 000.00,1.0200%,1 005 570 000.00,0.0600%,833 000 000.00,0.0500%,12 022 560 000.00,0.6500%
32 802 070 000.00,1.6900%,18 749 020 000.00,0.9600%,1 031 260 000.00,0.0500%,799 000 000.00,0.0400%,12 222 800 000.00,0.6300%
33 072 790 000.00,1.6700%,18 749 020 000.00,0.9500%,1 048 850 000.00,0.0500%,784 000 000.00,0.0400%,12 490 920 000.00,0.6300%
33 085 740 000.00,1.5900%,18 749 020 000.00,0.9000%,1 077 120 000.00,0.0500%,nan,nan%,13 259 610 000.00,0.6400%
34 618 570 000.00,1.5000%,18 749 020 000.00,0.8100%,1 079 040 000.00,0.0500%,nan,nan%,14 790 520 000.00,0.6400%
3 625 110 000.00,2.0500%,2 296 190 000.00,1.3000%,20 720 000.00,0.0100%,8 300 000.00,0.0100%,1 299 900 000.00,0.7400%
3 955 370 000.00,2.1700%,2 592 420 000.00,1.4200%,21 110 000.00,0.0100%,10 370 000.00,0.0100%,1 331 480 000.00,0.7300%
4 631 420 000.00,2.4500%,3 059 410 000.00,1.6200%,32 530 000.00,0.0200%,8 860 000.00,0.0100%,1 530 620 000.00,0.8100%
4 704 160 000.00,2.4000%,2 986 090 000.00,1.5200%,43 440 000.00,0.0200%,9 100 000.00,0.0100%,1 665 530 000.00,0.8500%
4 901 360 000.00,2.4000%,3 099 950 000.00,1.5200%,63 810 000.00,0.0300%,10 120 000.00,0.0100%,1 727 480 000.00,0.8500%
5 365 670 000.00,2.5100%,3 288 200 000.00,1.5400%,70 540 000.00,0.0300%,11 770 000.00,0.0100%,1 995 170 000.00,0.9300%
6 001 650 000.00,2.7200%,3 634 950 000.00,1.6500%,88 570 000.00,0.0400%,11 270 000.00,0.0100%,2 266 850 000.00,1.0300%
6 269 980 000.00,2.7700%,3 801 010 000.00,1.6800%,93 180 000.00,0.0400%,9 790 000.00,0.0000%,2 366 000 000.00,1.0400%
6 563 900 000.00,2.8300%,4 009 300 000.00,1.7300%,96 820 000.00,0.0400%,11 900 000.00,0.0100%,2 445 880 000.00,1.0600%
6 751 260 000.00,2.7900%,4 330 140 000.00,1.7900%,57 110 000.00,0.0200%,12 030 000.00,0.0100%,2 351 980 000.00,0.9700%
6 869 070 000.00,2.7000%,4 350 280 000.00,1.7100%,45 540 000.00,0.0200%,13 520 000.00,0.0100%,2 459 730 000.00,0.9700%
6 828 130 000.00,2.5500%,4 221 270 000.00,1.5800%,72 100 000.00,0.0300%,11 100 000.00,0.0000%,2 523 660 000.00,0.9400%
7 058 870 000.00,2.4900%,4 453 190 000.00,1.5700%,72 320 000.00,0.0300%,10 300 000.00,0.0000%,2 523 070 000.00,0.8900%
7 247 230 000.00,2.4700%,4 603 030 000.00,1.5700%,64 360 000.00,0.0200%,11 010 000.00,0.0000%,2 568 830 000.00,0.8700%
7 123 270 000.00,2.4700%,4 460 890 000.00,1.5500%,57 300 000.00,0.0200%,12 450 000.00,0.0000%,2 592 630 000.00,0.9000%
7 268 780 000.00,2.4600%,4 585 280 000.00,1.5500%,50 880 000.00,0.0200%,11 420 000.00,0.0000%,2 621 200 000.00,0.8900%
7 876 890 000.00,2.5400%,5 007 550 000.00,1.6200%,52 810 000.00,0.0200%,11 470 000.00,0.0000%,2 805 060 000.00,0.9000%
8 047 460 000.00,2.5300%,5 030 730 000.00,1.5800%,53 100 000.00,0.0200%,18 170 000.00,0.0100%,2 945 480 000.00,0.9200%
8 131 210 000.00,2.5100%,5 093 460 000.00,1.5700%,53 200 000.00,0.0200%,19 690 000.00,0.0100%,2 964 870 000.00,0.9200%
8 402 950 000.00,2.5200%,5 023 850 000.00,1.5100%,53 740 000.00,0.0200%,21 960 000.00,0.0100%,3 303 390 000.00,0.9900%
8 652 970 000.00,2.5100%,5 216 400 000.00,1.5200%,55 690 000.00,0.0200%,23 420 000.00,0.0100%,3 357 470 000.00,0.9800%
8 856 340 000.00,2.4800%,5 284 470 000.00,1.4800%,58 110 000.00,0.0200%,23 150 000.00,0.0100%,3 490 610 000.00,0.9800%
9 336 680 000.00,2.5300%,5 539 730 000.00,1.5000%,62 500 000.00,0.0200%,23 850 000.00,0.0100%,3 710 610 000.00,1.0000%
9 286 040 000.00,2.4100%,5 385 290 000.00,1.4000%,79 340 000.00,0.0200%,24 690 000.00,0.0100%,3 796 730 000.00,0.9900%
9 582 260 000.00,2.4100%,5 556 190 000.00,1.4000%,69 380 000.00,0.0200%,28 910 000.00,0.0100%,3 927 790 000.00,0.9900%
8 423 920 000.00,2.2100%,4 599 400 000.00,1.2100%,57 030 000.00,0.0200%,18 070 000.00,0.0100%,3 749 420 000.00,0.9800%
9 250 910 000.00,2.2800%,5 310 580 000.00,1.3100%,66 180 000.00,0.0200%,18 880 000.00,0.0100%,3 855 270 000.00,0.9500%
65 030 000.00,1.9000%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,65 030 000.00,1.9000%
61 660 000.00,1.7100%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,61 660 000.00,1.7100%
63 560 000.00,1.0000%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,63 560 000.00,1.0000%
68 580 000.00,1.0000%,0.00,0.0000%,0.00,0.0000%,0.00,0.0000%,68 580 000.00,1.0000%
